What is your age?,What is your gender?,Which region do you live in?,What is your highest level of education?,What is your occupation?,What is your approximate annual income?,What is your skin type?,How concerned are you about UVB rays (Burning)?,How concerned are you about UVA rays (Aging)?,How concerned are you about Blue Light?,How concerned are you about Pollution?,How concerned are you about Skin Dryness?,How sensitive are you to sunscreen texture (stickiness/greasiness)?,How price sensitive are you regarding skincare products?,How loyal are you to your current skincare brands?,How comfortable are you with digital technology/shopping?,How often do you currently use sunscreen?,Which brand do you currently use most often?,Where do you prefer to buy skincare products?,What SPF level do you prefer?,What product texture do you prefer?,What is the maximum you are willing to pay for a 50ml premium facial sunscreen?,Would you be willing to buy a specific winter sunscreen?,How likely are you to recommend your current sunscreen to a friend?,How satisfied are you with your current sunscreen?,What prevents you from using sunscreen in winter? (Select all that apply)
58,Male,Valencia,Bachelors,Service,60K-80K,Olive,4.6,1.0,1.0,2.4,3.2,1.0,6.5,5.4,4.1,Sometimes,ISDIN,Supermarket,15,Cream,28.67,No,5,8.4,"I don't see enough sun in winter, I dislike the heavy texture, I forget to apply it, It is too time consuming"
21,Male,Bilbao,Masters,Office Worker,40K-60K,Medium,3.3,2.3,4.3,1.0,1.0,1.0,1.0,1.0,1.5,Daily,None,Online,30,Cream,40.75,No,1,6.8,"I don't see enough sun in winter, It is too expensive, I dislike the heavy texture, I forget to apply it, I only need it at the beach, I am unaware of winter sun damage"
24,Male,Valencia,Bachelors,Student,25K-40K,Medium,3.8,1.3,1.0,4.0,1.1,4.5,1.8,1.0,3.0,Sometimes,Other,Specialty Store,30,Cream,40.23,No,3,4.1,"I don't see enough sun in winter, It is too expensive, I forget to apply it, I only need it at the beach, I am unaware of winter sun damage, It is too time consuming"
36,Male,Madrid,Bachelors,Manufacturing,60K-80K,Olive,8.8,3.2,3.8,3.1,6.3,7.5,4.6,5.7,4.3,Often,ISDIN,Pharmacy,30,Cream,31.84,No,6,8.4,"I don't see enough sun in winter, I am unaware of winter sun damage"
32,Female,Seville,PhD,Manufacturing,40K-60K,Medium,7.7,4.2,3.8,2.8,4.4,3.0,2.9,2.9,1.0,Often,GARNIER,Supermarket,50,Cream,44.57,No,3,5.4,"I don't see enough sun in winter, It is too expensive, I forget to apply it, I only need it at the beach, I am unaware of winter sun damage"
56,Male,Barcelona,Bachelors,Retail,40K-60K,Olive,3.7,1.0,2.1,2.3,1.0,5.0,2.8,1.9,2.9,Sometimes,La Roche-Posay,Pharmacy,15,Cream,35.5,No,6,6.0,"I don't see enough sun in winter, It is too expensive, I only need it at the beach, I am unaware of winter sun damage"
35,Female,Seville,Bachelors,Manufacturing,25K-40K,Medium,5.5,3.2,3.3,3.7,2.7,5.8,3.4,3.6,1.5,Often,Store Brand,Pharmacy,30,Cream,42.88,No,8,6.7,"I don't see enough sun in winter, I dislike the heavy texture, I only need it at the beach"
44,Female,Bilbao,Bachelors,Self-Employed,40K-60K,Medium,7.0,8.6,7.1,5.6,6.5,8.6,1.0,5.0,5.1,Often,Store Brand,Pharmacy,30,Fluid,33.71,Yes,7,4.8,
35,Female,Valencia,PhD,Education,80K+,Very Fair,9.0,7.7,7.2,6.9,8.1,9.8,4.2,4.9,4.6,Daily,La Roche-Posay,Online,50,Fluid,28.19,Yes,6,4.0,
45,Female,Madrid,High School,Healthcare,25K-40K,Fair,4.9,4.4,3.7,4.2,3.3,8.0,1.8,2.1,3.3,Rarely,NIVEA,Online,30,Fluid,40.45,No,6,5.1,"I don't see enough sun in winter, I forget to apply it, I only need it at the beach, I am unaware of winter sun damage"
44,Female,Barcelona,Masters,Education,40K-60K,Fair,7.1,4.5,5.2,2.3,4.9,4.6,2.5,5.7,1.0,Sometimes,ECRAN,Pharmacy,30,Lotion,44.98,Yes,7,7.9,"I don't see enough sun in winter, It is too expensive, I forget to apply it, It is too time consuming"
40,Male,Málaga,Bachelors,Manufacturing,25K-40K,Medium,7.7,4.3,1.5,2.4,4.2,7.7,4.3,4.5,1.0,Sometimes,La Roche-Posay,Supermarket,30,Fluid,28.38,Yes,8,6.6,"I don't see enough sun in winter, I only need it at the beach, I am unaware of winter sun damage"
49,Female,Barcelona,Bachelors,Other,40K-60K,Fair,5.3,1.0,3.2,1.0,1.0,3.1,6.2,6.8,5.4,Rarely,NIVEA,Pharmacy,30,Spray,28.36,No,3,8.2,"I don't see enough sun in winter, I only need it at the beach, I am unaware of winter sun damage, It is too time consuming"
49,Female,Other,PhD,Manufacturing,60K-80K,Fair,7.4,9.1,4.8,7.0,9.8,9.3,1.6,3.6,3.7,Daily,La Roche-Posay,Pharmacy,50,Fluid,26.08,Yes,1,4.6,"It is too expensive, I dislike the heavy texture"
47,Female,Málaga,High School,Tech,40K-60K,Medium,9.0,7.6,7.7,6.3,5.6,8.1,1.0,3.3,4.0,Daily,ISDIN,Supermarket,50,Fluid,30.44,Yes,5,5.1,
43,Female,Seville,Bachelors,Service,25K-40K,Olive,3.5,1.7,2.2,2.7,2.5,2.4,8.1,3.2,3.5,Sometimes,GARNIER,Pharmacy,15,Cream,20.12,No,3,7.3,"I don't see enough sun in winter, It is too expensive, I dislike the heavy texture, I forget to apply it, I only need it at the beach, I am unaware of winter sun damage"
49,Female,Barcelona,Bachelors,Self-Employed,25K-40K,Olive,5.5,1.1,1.1,2.6,3.1,5.5,5.6,5.6,4.1,Sometimes,GARNIER,Specialty Store,30,Lotion,26.31,No,2,8.7,"I don't see enough sun in winter, I only need it at the beach, I am unaware of winter sun damage"
38,Female,Other,Masters,Self-Employed,40K-60K,Very Fair,9.3,7.1,4.0,5.8,10.0,5.2,3.6,6.6,4.0,Often,GARNIER,Pharmacy,50,Cream,37.65,Yes,7,6.6,It is too expensive
29,Male,Other,High School,Other,25K-40K,Fair,2.4,1.4,1.0,4.5,1.2,7.0,7.8,3.5,6.5,Rarely,GARNIER,Department Store,30,Cream,12.52,No,3,4.0,"I don't see enough sun in winter, It is too expensive, I forget to apply it, I only need it at the beach"
38,Male,Barcelona,Bachelors,Healthcare,25K-40K,Medium,2.8,2.8,1.0,3.2,3.1,4.5,4.1,8.0,1.0,Rarely,ECRAN,Supermarket,30,Cream,18.35,No,6,9.5,"It is too expensive, I only need it at the beach, I am unaware of winter sun damage"
29,Female,Madrid,Masters,Office Worker,25K-40K,Dark,1.6,2.6,3.9,3.2,3.8,4.2,7.9,4.9,3.2,Rarely,GARNIER,Department Store,30,Fluid,18.16,No,2,9.6,"I don't see enough sun in winter, It is too expensive, I only need it at the beach, I am unaware of winter sun damage, It is too time consuming"
39,Male,Barcelona,High School,Manufacturing,25K-40K,Olive,8.4,1.0,4.0,4.9,2.4,1.0,6.8,3.9,1.0,Sometimes,La Roche-Posay,Specialty Store,30,Fluid,31.49,No,6,7.9,"I don't see enough sun in winter, It is too time consuming"
48,Female,Other,High School,Manufacturing,25K-40K,Fair,7.2,2.7,2.0,2.2,1.0,5.1,3.5,3.6,3.6,Sometimes,NIVEA,Supermarket,30,Cream,29.57,No,1,4.9,"I don't see enough sun in winter, It is too expensive, I dislike the heavy texture, I only need it at the beach, It is too time consuming"
49,Male,Other,High School,Service,25K-40K,Dark,2.4,3.4,1.0,2.1,5.1,1.3,6.2,1.0,2.2,Daily,Store Brand,Specialty Store,15,Spray,24.48,No,4,4.9,"I don't see enough sun in winter, It is too expensive, I dislike the heavy texture, I forget to apply it, I am unaware of winter sun damage, It is too time consuming"
53,Female,Other,Bachelors,Self-Employed,40K-60K,Olive,1.8,3.7,1.0,1.0,2.8,1.9,6.0,1.6,1.2,Rarely,NIVEA,Online,15,Lotion,29.87,No,6,5.1,"It is too expensive, I dislike the heavy texture, I only need it at the beach, I am unaware of winter sun damage, It is too time consuming"
21,Female,Seville,Bachelors,Other,40K-60K,Medium,2.8,5.0,1.6,3.0,6.7,2.1,3.7,1.1,2.1,Never,Other,Pharmacy,15,Fluid,35.25,No,4,5.0,"I don't see enough sun in winter, It is too expensive, I dislike the heavy texture, I forget to apply it, I am unaware of winter sun damage, It is too time consuming"
52,Male,Other,Bachelors,Manufacturing,25K-40K,Fair,5.6,1.9,1.0,3.2,1.6,4.4,7.1,3.6,1.0,Sometimes,Store Brand,Pharmacy,15,Cream,13.01,No,4,6.5,"I don't see enough sun in winter, It is too expensive, I dislike the heavy texture, I only need it at the beach, I am unaware of winter sun damage"
47,Male,Madrid,Masters,Education,25K-40K,Medium,2.9,5.5,3.7,2.3,5.3,1.6,5.2,6.1,1.9,Often,Store Brand,Pharmacy,15,Cream,29.39,No,4,7.4,"I forget to apply it, I am unaware of winter sun damage"
48,Male,Valencia,High School,Retail,25K-40K,Fair,6.1,1.3,1.0,4.2,1.9,4.4,4.3,7.0,1.8,Never,NIVEA,Pharmacy,30,Fluid,25.77,No,3,8.4,"I don't see enough sun in winter, It is too expensive, I dislike the heavy texture, I only need it at the beach"
25,Male,Other,Masters,Manufacturing,80K+,Fair,8.3,9.7,5.9,3.9,9.9,7.3,3.5,4.0,5.3,Never,NIVEA,Pharmacy,50,Cream,30.55,Yes,9,6.3,I am unaware of winter sun damage
58,Male,Other,Bachelors,Student,60K-80K,Medium,6.0,2.3,1.1,1.3,2.4,2.4,4.2,5.9,4.3,Often,NIVEA,Online,15,Lotion,20.11,No,5,7.5,"I don't see enough sun in winter, I forget to apply it, I only need it at the beach, I am unaware of winter sun damage"
42,Male,Other,Bachelors,Manufacturing,60K-80K,Medium,10.0,8.8,5.8,8.2,10.0,7.5,5.1,6.6,9.6,Often,GARNIER,Online,50,Serum,22.88,Yes,10,6.7,
51,Male,Other,Bachelors,Other,25K-40K,Medium,5.3,1.0,2.7,2.4,2.7,3.5,7.5,5.4,3.1,Rarely,La Roche-Posay,Supermarket,30,Fluid,22.9,No,1,7.0,"I don't see enough sun in winter, It is too expensive, I forget to apply it"
45,Female,Málaga,Masters,Office Worker,60K-80K,Fair,2.7,2.4,1.0,1.0,2.4,4.3,6.1,1.3,4.5,Rarely,La Roche-Posay,Pharmacy,15,Cream,10.76,No,8,6.7,"It is too expensive, I forget to apply it, I only need it at the beach, I am unaware of winter sun damage, It is too time consuming"
41,Female,Other,Bachelors,Other,25K-40K,Medium,4.4,3.8,5.3,1.1,1.8,1.0,2.1,6.2,6.0,Often,GARNIER,Specialty Store,30,Cream,40.89,Yes,6,8.7,"I don't see enough sun in winter, It is too expensive, I only need it at the beach, I am unaware of winter sun damage, It is too time consuming"
36,Female,Madrid,Bachelors,Tech,40K-60K,Very Fair,4.3,1.4,1.0,5.9,4.3,2.6,6.1,3.7,4.3,Rarely,ECRAN,Pharmacy,30,Cream,16.63,No,6,5.9,"I don't see enough sun in winter, It is too expensive, I am unaware of winter sun damage"
59,Male,Seville,Masters,Service,25K-40K,Fair,5.8,3.0,3.0,2.2,3.5,5.0,5.4,3.5,3.4,Often,Store Brand,Online,50,Cream,28.76,No,4,6.4,"I don't see enough sun in winter, It is too expensive, I am unaware of winter sun damage"
46,Female,Other,PhD,Service,60K-80K,Fair,10.0,7.9,7.1,7.0,9.8,7.7,2.2,3.5,4.1,Daily,ISDIN,Supermarket,50,Gel,31.78,Yes,7,4.9,"It is too expensive, I dislike the heavy texture"
29,Male,Seville,Masters,Self-Employed,60K-80K,Medium,8.5,7.0,4.3,3.7,9.1,6.2,6.0,6.1,7.0,Often,Other,Pharmacy,50,Lotion,27.88,Yes,4,8.5,It is too expensive
35,Female,Barcelona,Masters,Tech,40K-60K,Fair,7.7,1.9,1.0,3.6,4.2,5.5,3.9,1.1,2.7,Sometimes,ISDIN,Supermarket,50,Cream,39.2,No,3,4.6,"I don't see enough sun in winter, I forget to apply it, I am unaware of winter sun damage"
56,Female,Madrid,High School,Service,25K-40K,Olive,1.6,2.6,1.7,1.0,4.3,1.4,4.4,3.5,4.5,Rarely,Store Brand,Supermarket,15,Fluid,21.5,No,4,6.2,"I don't see enough sun in winter, I only need it at the beach, I am unaware of winter sun damage"
26,Male,Seville,Bachelors,Service,<25K,Very Fair,6.2,5.9,1.0,3.5,8.1,1.0,6.5,3.0,4.7,Sometimes,GARNIER,Online,50,Cream,21.14,No,5,8.4,"I don't see enough sun in winter, It is too expensive, I dislike the heavy texture, It is too time consuming"
33,Male,Barcelona,Masters,Education,60K-80K,Fair,1.0,1.0,1.0,1.7,1.0,2.1,3.8,3.4,5.1,Sometimes,La Roche-Posay,Supermarket,15,Cream,40.54,Yes,4,5.7,"I don't see enough sun in winter, I dislike the heavy texture, I forget to apply it, I only need it at the beach, I am unaware of winter sun damage, It is too time consuming"
64,Female,Málaga,High School,Tech,40K-60K,Fair,1.0,2.9,1.0,2.1,5.3,1.4,7.6,1.0,1.9,Never,None,Department Store,15,Cream,10.0,No,4,5.6,"I don't see enough sun in winter, It is too expensive, I dislike the heavy texture, I only need it at the beach, I am unaware of winter sun damage"
44,Male,Seville,Bachelors,Education,40K-60K,Fair,2.6,1.0,1.0,3.9,1.0,1.0,6.6,7.0,4.0,Daily,Other,Pharmacy,15,Lotion,29.19,No,7,10.0,"I don't see enough sun in winter, It is too expensive, I dislike the heavy texture, I am unaware of winter sun damage"
43,Female,Barcelona,Masters,Tech,40K-60K,Very Fair,1.3,1.2,1.1,2.8,1.4,3.4,1.1,1.6,1.0,Often,Store Brand,Supermarket,15,Lotion,41.51,No,3,5.5,"I don't see enough sun in winter, It is too expensive, I forget to apply it, I only need it at the beach, I am unaware of winter sun damage, It is too time consuming"
30,Male,Bilbao,PhD,Education,25K-40K,Medium,6.5,1.6,2.8,1.1,1.0,4.8,3.8,3.9,1.9,Never,ISDIN,Pharmacy,15,Fluid,37.95,No,2,7.0,"I don't see enough sun in winter, It is too expensive, I dislike the heavy texture, I only need it at the beach, I am unaware of winter sun damage, It is too time consuming"
36,Female,Málaga,Masters,Healthcare,25K-40K,Fair,5.8,4.8,1.2,1.2,6.6,3.4,6.6,5.4,2.9,Rarely,NIVEA,Supermarket,30,Fluid,24.13,No,1,8.6,"I don't see enough sun in winter, I dislike the heavy texture, I only need it at the beach, I am unaware of winter sun damage, It is too time consuming"
55,Female,Madrid,High School,Office Worker,40K-60K,Very Fair,2.5,6.7,1.0,2.9,8.5,2.3,1.0,3.2,1.3,Sometimes,Other,Department Store,30,Fluid,28.62,No,5,6.7,"I don't see enough sun in winter, It is too expensive, I dislike the heavy texture, I forget to apply it, I only need it at the beach, I am unaware of winter sun damage"
37,Male,Seville,Bachelors,Service,40K-60K,Medium,4.8,3.3,1.0,3.1,3.4,7.4,4.6,4.2,3.5,Never,NIVEA,Pharmacy,50,Gel,22.73,No,5,5.6,"I don't see enough sun in winter, It is too expensive, I dislike the heavy texture, I am unaware of winter sun damage"
49,Male,Valencia,Masters,Tech,80K+,Medium,8.2,8.3,6.9,8.0,6.4,7.5,2.5,3.6,7.0,Daily,NIVEA,Department Store,50,Fluid,46.12,Yes,6,4.3,It is too expensive
57,Male,Barcelona,High School,Office Worker,40K-60K,Brown,4.9,1.0,1.0,1.0,1.9,4.3,4.1,3.4,3.4,Sometimes,ISDIN,Specialty Store,30,Spray,24.18,No,9,7.0,"I don't see enough sun in winter, I dislike the heavy texture, I forget to apply it, I only need it at the beach, It is too time consuming"
28,Male,Bilbao,Bachelors,Service,60K-80K,Olive,2.4,1.0,1.0,2.5,1.0,2.5,5.0,3.1,2.2,Rarely,Store Brand,Online,15,Cream,20.3,No,6,7.1,"I don't see enough sun in winter, I forget to apply it, I am unaware of winter sun damage"
40,Female,Seville,High School,Office Worker,60K-80K,Olive,8.6,7.9,6.4,5.7,6.0,9.1,3.4,5.9,8.3,Often,La Roche-Posay,Online,50,Serum,44.73,Yes,5,6.6,"I don't see enough sun in winter, I dislike the heavy texture"
58,Female,Madrid,High School,Self-Employed,25K-40K,Medium,5.5,1.3,3.8,3.9,1.0,3.3,4.3,3.3,1.0,Often,La Roche-Posay,Online,50,Lotion,16.69,No,9,7.7,"I don't see enough sun in winter, I dislike the heavy texture, I only need it at the beach"
41,Female,Other,Masters,Retail,60K-80K,Very Fair,10.0,6.0,7.4,7.0,1.9,8.8,1.2,3.7,4.7,Often,La Roche-Posay,Online,50,Serum,39.32,Yes,7,3.8,
44,Male,Other,Bachelors,Manufacturing,25K-40K,Medium,3.7,3.6,1.0,1.2,2.8,5.5,1.6,4.3,5.1,Often,ISDIN,Specialty Store,15,Spray,39.03,No,4,6.4,"I don't see enough sun in winter, It is too expensive, I dislike the heavy texture, I am unaware of winter sun damage, It is too time consuming"
60,Male,Madrid,Bachelors,Student,60K-80K,Olive,2.5,2.2,1.0,1.0,2.7,1.6,3.3,1.0,2.4,Sometimes,NIVEA,Supermarket,15,Cream,47.84,No,1,6.8,"I don't see enough sun in winter, It is too expensive, I dislike the heavy texture, I only need it at the beach, I am unaware of winter sun damage"
39,Female,Barcelona,Masters,Education,40K-60K,Fair,5.5,4.7,2.7,3.8,4.5,8.0,3.5,5.1,1.0,Daily,None,Pharmacy,50,Fluid,34.63,Yes,8,5.4,"I don't see enough sun in winter, I forget to apply it, I am unaware of winter sun damage"
44,Female,Other,Masters,Student,40K-60K,Olive,5.0,3.4,1.8,1.3,1.8,1.6,2.8,3.3,6.3,Rarely,Store Brand,Pharmacy,30,Lotion,38.7,Yes,5,7.7,"I don't see enough sun in winter, I dislike the heavy texture, I forget to apply it, I only need it at the beach, I am unaware of winter sun damage"
29,Female,Other,Bachelors,Self-Employed,<25K,Fair,2.2,3.8,4.8,3.7,6.6,7.0,5.6,1.7,2.6,Sometimes,GARNIER,Supermarket,15,Lotion,17.42,No,1,4.7,"I don't see enough sun in winter, It is too expensive, It is too time consuming"
53,Male,Other,Bachelors,Self-Employed,40K-60K,Medium,9.6,1.0,2.6,1.3,2.2,3.5,5.0,1.7,2.1,Sometimes,Store Brand,Specialty Store,50,Lotion,25.45,No,5,7.1,"I don't see enough sun in winter, It is too expensive, I only need it at the beach"
59,Male,Málaga,Masters,Education,40K-60K,Dark,6.7,1.6,1.2,3.8,2.0,3.9,2.7,2.2,3.6,Rarely,ISDIN,Specialty Store,15,Cream,43.66,No,6,6.4,"I don't see enough sun in winter, It is too expensive, I dislike the heavy texture, I am unaware of winter sun damage"
22,Female,Valencia,Bachelors,Other,25K-40K,Medium,4.9,1.0,2.2,2.9,1.0,3.3,4.4,1.0,3.9,Daily,NIVEA,Pharmacy,30,Fluid,19.97,No,2,4.7,"I don't see enough sun in winter, It is too expensive, I dislike the heavy texture, I forget to apply it, I am unaware of winter sun damage, It is too time consuming"
22,Male,Other,Masters,Manufacturing,25K-40K,Olive,5.5,3.6,1.0,1.0,2.8,1.0,5.6,1.2,3.8,Never,GARNIER,Pharmacy,30,Cream,32.06,No,6,6.0,"I don't see enough sun in winter, It is too expensive, I forget to apply it, I only need it at the beach, I am unaware of winter sun damage"
43,Female,Other,Bachelors,Manufacturing,25K-40K,Medium,2.6,6.8,1.3,2.5,6.6,2.6,6.1,2.0,5.5,Never,GARNIER,Online,30,Cream,22.24,No,5,7.0,"I don't see enough sun in winter, It is too expensive, I dislike the heavy texture, I am unaware of winter sun damage"
38,Female,Madrid,Bachelors,Office Worker,40K-60K,Fair,1.1,2.1,2.6,5.5,1.0,4.6,5.9,1.0,4.3,Never,Other,Pharmacy,15,Lotion,33.55,No,1,4.3,"I don't see enough sun in winter, It is too expensive, I forget to apply it, I am unaware of winter sun damage, It is too time consuming"
43,Male,Other,Bachelors,Self-Employed,40K-60K,Brown,8.6,2.5,4.1,4.7,2.0,3.0,3.4,2.3,3.7,Sometimes,GARNIER,Specialty Store,50,Lotion,39.9,No,4,4.1,"I only need it at the beach, I am unaware of winter sun damage"
29,Female,Barcelona,Masters,Service,60K-80K,Brown,8.5,8.2,2.4,3.8,7.4,6.7,1.0,6.3,6.2,Daily,La Roche-Posay,Pharmacy,30,Fluid,46.65,No,4,6.3,I dislike the heavy texture
41,Female,Other,Masters,Office Worker,40K-60K,Olive,6.3,1.9,1.0,3.5,1.0,1.0,3.4,3.4,6.0,Never,NIVEA,Supermarket,30,Lotion,37.55,No,6,7.7,"I don't see enough sun in winter, It is too expensive, I only need it at the beach, I am unaware of winter sun damage"
46,Female,Madrid,Bachelors,Retail,40K-60K,Olive,2.1,1.0,1.0,1.0,5.0,1.0,1.1,3.5,4.7,Often,ECRAN,Supermarket,15,Cream,46.44,No,5,8.4,"I am unaware of winter sun damage, It is too time consuming"
28,Female,Bilbao,Bachelors,Manufacturing,25K-40K,Fair,1.0,5.1,4.9,4.4,3.6,6.0,5.6,1.0,2.3,Never,Store Brand,Online,15,Lotion,22.85,No,3,4.7,"I don't see enough sun in winter, It is too expensive, I forget to apply it, I only need it at the beach, I am unaware of winter sun damage, It is too time consuming"
55,Male,Málaga,Bachelors,Education,40K-60K,Fair,6.1,3.8,1.0,1.0,2.5,3.1,3.0,3.9,2.2,Rarely,GARNIER,Supermarket,30,Fluid,45.35,No,1,5.4,"I don't see enough sun in winter, It is too expensive, I forget to apply it, I only need it at the beach, I am unaware of winter sun damage"
40,Female,Bilbao,Bachelors,Service,40K-60K,Fair,5.2,4.8,2.8,4.3,4.9,1.4,3.0,5.3,3.3,Rarely,La Roche-Posay,Department Store,50,Lotion,46.3,No,5,9.1,"I dislike the heavy texture, I forget to apply it, I only need it at the beach"
47,Female,Valencia,High School,Office Worker,40K-60K,Olive,9.0,5.8,1.1,1.0,4.8,4.2,4.3,7.5,3.0,Rarely,Store Brand,Supermarket,50,Lotion,28.27,No,6,7.7,"I don't see enough sun in winter, It is too expensive, I dislike the heavy texture, I only need it at the beach, It is too time consuming"
41,Female,Bilbao,Masters,Healthcare,40K-60K,Medium,8.7,6.1,1.8,5.1,4.5,2.4,3.0,2.5,4.4,Often,Other,Pharmacy,50,Fluid,35.69,Yes,5,5.1,"I don't see enough sun in winter, It is too expensive, I dislike the heavy texture, I forget to apply it, I am unaware of winter sun damage"
44,Female,Other,High School,Retail,25K-40K,Fair,6.2,1.0,2.3,3.3,1.0,3.6,8.3,1.7,5.7,Never,GARNIER,Supermarket,30,Fluid,10.0,No,1,5.9,"I don't see enough sun in winter, I am unaware of winter sun damage, It is too time consuming"
